algorithm,Cmax,utilization,load_balance,runtime_sec,RPI
FIFO,635.8467453317785,0.17398185004452688,157.2761303663019,0.028579599998920457,0.0
SPT,635.8467453317785,0.17398185004452688,157.2761303663019,0.029238899998745183,0.0
EAT,635.8467453317785,0.1941332503182253,118.98499064290058,0.029353800000535557,0.0
GA,635.8467453317785,0.17398185004452688,157.2761303663019,6.332606899999519,0.0
PPO,690.8217072336499,0.20426077832741668,121.92931663000839,0.8353640999994241,100.0
TSR-PPO,635.8467453317785,0.19576751641423404,120.71679053465213,0.04577460000291467,0.0
