job_id,process,line_id,start,finish,duration,ratio,release_time
J0001,横切,横切18号线,0.0,10.270778086426404,10.270778086426404,0.12906939939196058,0.0
J0001,横切,横切3号线,0.0,10.270778086426402,10.270778086426402,0.8709306006080394,0.0
J0002,纵剪,纵剪1号线,11.680948279122267,51.985877635833276,40.30492935671101,1.0,11.680948279122267
J0003,横切,横切14号线,23.60475327849354,31.721546168233886,8.116792889740347,0.1273580939938337,23.60475327849354
J0003,横切,横切3号线,23.60475327849354,31.72154616823389,8.11679288974035,0.8726419060061663,23.60475327849354
J0004,横切,横切12号线,25.003724727751454,38.18354643322475,13.179821705473294,0.6230132214652766,25.003724727751454
J0004,横切,横切3号线,31.72154616823389,33.429258870207136,1.7077127019732443,0.3769867785347234,25.003724727751454
J0005,横切,横切21号机,25.43591172624334,36.19931726683483,10.76340554059149,0.629975414200243,25.43591172624334
J0005,横切,横切3号线,33.429258870207136,34.62607751495563,1.196818644748494,0.3700245857997571,25.43591172624334
J0006,横切,横切3号线,34.62607751495563,36.61097718295023,1.9848996679945996,0.6616332226648666,32.699214304774095
J0006,横切,横切6号线,32.699214304774095,38.50874411892904,5.809529814154941,0.33836677733513354,32.699214304774095
J0007,纵剪,纵剪1号线,51.985877635833276,62.25692479501406,10.271047159180785,1.0,39.74901777606196
J0008,横切,横切17号线,55.37049755880945,94.5675654105433,39.19706785173384,0.11549378194863986,55.37049755880945
J0008,横切,横切3号线,55.37049755880945,94.5675654105433,39.19706785173385,0.8845062180513602,55.37049755880945
J0009,纵剪,纵剪2号线,55.76696854472699,68.95557715089151,13.188608606164522,0.5034429977900404,55.76696854472699
J0009,纵剪,纵剪3号线,55.76696854472699,68.95557715089151,13.188608606164522,0.4965570022099595,55.76696854472699
J0010,纵剪,纵剪2号线,68.95557715089151,80.69080370697388,11.735226556082369,0.5304540508904648,60.999772777442814
J0010,纵剪,纵剪3号线,68.95557715089151,80.69080370697388,11.735226556082369,0.4695459491095351,60.999772777442814
J0011,横切,横切21号机,61.351954311431854,78.05938762594823,16.707433314516372,0.8648944388576761,61.351954311431854
J0011,横切,横切3号线,94.5675654105433,95.05586396134575,0.48829855080245094,0.13510556114232383,61.351954311431854
J0012,横切,横切3号线,95.05586396134575,96.30654697926961,1.2506830179238602,0.1650799111952153,66.79707245155166
J0012,横切,横切8号线,66.79707245155166,103.39054611782595,36.59347366627429,0.8349200888047847,66.79707245155166
J0013,横切,横切3号线,96.30654697926961,97.37454010475611,1.0679931254864998,0.1966094482037922,75.4537092159707
J0013,横切,横切4号线,75.4537092159707,98.79238971954571,23.33868050357501,0.8033905517962079,75.4537092159707
J0014,纵剪,纵剪2号线,80.69080370697388,109.97360937991158,29.282805672937698,1.0,77.38818333892026
J0015,横切,横切3号线,97.37454010475611,101.77269469896238,4.3981545942062725,0.3794912914742483,83.54611165222812
J0015,横切,横切5号线,83.54611165222812,148.7638323755731,65.21772072334498,0.6205087085257517,83.54611165222812
J0016,纵剪,纵剪3号线,84.31497792135926,127.18245981603066,42.8674818946714,1.0,84.31497792135926
J0017,复合剪,复合剪20号机线,84.77286425831022,147.76122383399272,62.98835957568249,1.0,84.77286425831022
J0018,横切,横切3号线,101.77269469896238,103.70340515824083,1.930710459278444,0.2638140955888248,86.34876026897219
J0018,横切,横切6号线,86.34876026897219,118.0586222554576,31.70986198648542,0.7361859044111752,86.34876026897219
J0019,横切,横切10号线,90.85475664582297,105.24735159002104,14.392594944198065,0.6535740188824812,90.85475664582297
J0019,横切,横切3号线,103.70340515824083,104.74268310159339,1.0392779433525563,0.34642598111751877,90.85475664582297
J0020,纵剪,纵剪1号线,92.91968329451542,117.15199948840063,24.23231619388521,1.0,92.91968329451542
J0021,横切,横切3号线,104.74268310159339,110.8503533678233,6.10767026622992,0.43382677485404103,99.15661304358355
J0021,横切,横切4号线,99.15661304358355,139.3821573081974,40.22554426461385,0.5661732251459589,99.15661304358355
J0022,横切,横切21号机,100.27449490464515,127.53732350962535,27.262828604980196,0.6847681906248827,100.27449490464515
J0022,横切,横切3号线,110.8503533678233,113.20549866367337,2.3551452958500656,0.31523180937511736,100.27449490464515
J0023,横切,横切12号线,109.46434622536746,114.19870496436405,4.734358738996584,0.6708414980774919,109.46434622536746
J0023,横切,横切2号线,109.46434622536746,114.19870496436405,4.734358738996583,0.32915850192250806,109.46434622536746
J0024,横切,横切2号线,115.59977554143876,129.23778009183346,13.638004550394704,0.08986244210728428,115.59977554143876
J0024,横切,横切3号线,115.59977554143876,129.23778009183346,13.638004550394704,0.9101375578927157,115.59977554143876
J0025,横切,横切3号线,129.23778009183346,131.0699317898737,1.8321516980402357,0.34735937359322505,118.87875631125375
J0025,横切,横切6号线,118.87875631125375,139.69021101892227,20.811454707668528,0.652640626406775,118.87875631125375
J0026,横切,横切17号线,120.96418984281284,133.7507465678319,12.78655672501905,0.6162178452080509,120.96418984281284
J0026,横切,横切3号线,131.0699317898737,132.22127825424954,1.1513464643758475,0.38378215479194916,120.96418984281284
J0027,纵剪,纵剪2号线,123.23078828930416,213.82338137041458,90.59259308111042,1.0,123.23078828930416
J0028,横切,横切10号线,123.61617402458243,177.13403563855547,53.51786161397305,0.5956317285153906,123.61617402458243
J0028,横切,横切3号线,132.22127825424954,137.79309302422084,5.571814769971306,0.4043682714846095,123.61617402458243
J0029,复合剪,复合剪20号机线,147.76122383399272,240.87425587322497,93.11303203923224,1.0,124.5143352964552
J0030,横切,横切3号线,137.79309302422084,142.86398769358755,5.070894669366719,0.33500821541569636,127.94093755447646
J0030,横切,横切8号线,127.94093755447646,182.97107487714212,55.03013732266565,0.6649917845843036,127.94093755447646
J0031,横切,横切14号线,129.88433873527558,146.84597609509507,16.961637359819484,0.6708147318595168,129.88433873527558
J0031,横切,横切3号线,142.86398769358755,144.07729694122315,1.2133092476356138,0.32918526814048327,129.88433873527558
J0032,纵剪,纵剪2号线,213.82338137041458,234.57821785918102,20.75483648876645,1.0,136.20537302310112
J0033,复合剪,复合剪20号机线,240.87425587322497,343.47049559811893,102.59623972489395,1.0,139.74782616018175
J0034,纵剪,纵剪2号线,234.57821785918102,286.5248586560123,51.946640796831325,1.0,140.93747593167183
J0035,横切,横切3号线,144.07729694122315,147.98484066324679,3.90754372202363,1.0,143.2429176129592
J0036,横切,横切3号线,147.98484066324679,155.42988510056279,7.445044437316001,0.651529861355161,146.45070129891175
J0036,横切,横切4号线,146.45070129891175,165.31748147673778,18.86678017782604,0.3484701386448391,146.45070129891175
J0037,横切,横切14号线,148.16986810610072,170.2221566816338,22.05228857553307,0.5407653739578631,148.16986810610072
J0037,横切,横切3号线,155.42988510056279,158.09964820036245,2.6697630997996793,0.45923462604213694,148.16986810610072
J0038,纵剪,纵剪3号线,149.77942421063227,185.84841826788255,36.068994057250265,1.0,149.77942421063227
