algorithm,Cmax,utilization,load_balance,runtime_sec,RPI
PPO,783.5218691181497,0.17705714221057714,116.37970333279087,0.9141157999983989,100.0
PPO+Mask,635.8467453317785,0.21378496815773887,120.66065317198867,0.046462399997835746,0.0
PPO+Mask+Split,635.8467453317785,0.19576751641423404,120.71679053465213,0.04681630000050063,0.0
TSR-PPO,635.8467453317785,0.19225655610987766,124.17991866685294,0.046436000000539934,0.0
